1,jia_jia_robot,93.26,University of Science and Technology (China),1_jia_jia_robot,http://news.xinhuanet.com/english/2016-04/15/c_135282841.htm,,4.283,0.91,-0.575,-0.28,0.990,0.975,1.000,0.042,1.000,1.000,1.000,1.000,1.000,1.000,0.929,1.000,1.000,1.000,1.000,0.875,1.000,1.000,1.000,1.000,0.083,0.000,3
2,Snabot,6.04,SnapChat ,2_Snaptbot,https://www.spectacles.com/map/,,-0.281,-1.685,-0.522,-1.086,0.089,0.000,0.543,0.034,0.077,0.000,0.000,0.077,0.000,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.909,0.357,0.214,0.692,0.000,0.067,2
3,lego_robot_1_Gripper,15.92,LEGO,3_lego_robot_1,https://www.lego.com/en-us/mindstorms/build-a-robot/gripp3r,,-0.149,0.157,-0.126,2.252,0.093,0.584,0.695,0.962,0.000,0.067,0.000,0.214,0.214,0.154,0.000,0.933,0.733,0.400,0.467,0.385,0.769,0.857,0.867,0.286,1.000,0.923,4
4,lego_robot_2_NXT_2.0,38.09,LEGO,4_lego_robot_2,https://shop.lego.com/en-CA/LEGO-MINDSTORMS-NXT-2-0-8547,,-0.484,0.71,0.41,-0.194,0.131,0.823,0.767,0.263,0.067,0.286,0.125,0.308,0.000,0.133,0.000,1.000,0.533,0.583,1.000,1.000,0.933,0.800,1.000,0.333,0.455,0.071,3
5,Mini,28.22,"Robotics Lab, Universidad Carlos III de Madrid",5_Mini,http://roboticslab.uc3m.es/roboticslab/,,0.472,-0.43,0.783,-1.03,0.299,0.371,0.964,0.000,0.786,0.200,0.100,0.154,0.154,0.267,0.429,0.867,0.067,0.133,0.786,0.000,1.000,1.000,1.000,0.857,0.000,0.000,2
6,cb2_humanoid,64.52,Osaka University,6_cb2_humanoid,http://www.eng.osaka-u.ac.jp/ja/research/index_asada.html,,0.42,1.081,0.679,-0.97,0.344,0.987,0.964,0.039,0.467,0.200,0.067,0.357,0.000,0.929,0.385,1.000,1.000,0.933,1.000,1.000,1.000,1.000,1.000,0.857,0.077,0.000,4
7,alter_humanoid,61.3,Osaka University ,7_alter_humanoid,http://www.itmedia.co.jp/news/articles/1607/29/news154.html,,1.742,0.32,0.545,0.635,0.518,0.757,1.000,0.347,0.286,0.600,0.600,0.308,0.000,1.000,0.833,1.000,1.000,1.000,0.786,0.000,1.000,1.000,1.000,1.000,0.444,0.250,2
8,jibo,1.44,Cynthia Breazeal,8_jibo,https://www.jibo.com/,,-0.175,-1.438,-2.409,-1.055,0.021,0.013,0.106,0.000,0.077,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.067,0.000,0.286,0.000,0.071,0.067,0.000,0.000,1
9,buddy_robot,23.04,Blue Frog Robotics,9_buddy_robot,http://www.bluefrogrobotics.com/en/buddy/,,0.315,-1.146,1.073,1.511,0.231,0.183,0.982,0.778,0.286,0.600,0.500,0.231,0.000,0.000,0.000,0.133,0.067,0.000,0.571,0.143,1.000,1.000,1.000,0.929,0.556,1.000,2
10,asimo_humanoid,45.4,Honda,10_asimo_humanoid,http://asimo.honda.com/,,-0.723,1.237,-1.024,-0.395,0.010,0.960,0.467,0.193,0.000,0.000,0.000,0.000,0.000,0.071,0.000,1.000,0.867,1.000,0.933,1.000,0.462,0.333,1.000,0.071,0.308,0.077,4
11,nao_humanoid,45.92,Aldebaran,11_nao_humanoid,https://www.ald.softbankrobotics.com/en/robots/nao,,-0.904,1.045,0.72,-0.912,0.039,0.973,0.876,0.077,0.067,0.067,0.000,0.071,0.071,0.000,0.000,1.000,1.000,0.933,0.933,1.000,1.000,0.933,1.000,0.571,0.154,0.000,4
12,baxter_industrial,27.3,Rethink Robotics,12_baxter_industrial,http://www.rethinkrobotics.com/baxter/,,0.125,0.183,0.243,0.559,0.240,0.680,0.699,0.417,0.214,0.933,0.200,0.154,0.182,0.000,0.000,1.000,0.667,0.733,0.714,0.286,1.000,0.786,0.867,0.143,0.333,0.500,2
13,riba_ii,31,Riken Research Center and Tokai Rubber Industries,13_riba_ii,http://www.riken.jp/en/pr/press/2011/20110802_2/,,0.251,0.508,0.782,1.38,0.261,0.744,0.950,0.756,0.400,0.000,0.062,0.143,0.000,0.933,0.286,1.000,0.467,0.692,1.000,0.562,1.000,1.000,1.000,0.800,0.583,0.929,3
15,altair_ez2,40.17,Tony Ellis (Applied Machine Intelligence (AMI)),15_altair_ez2,http://www.appliedmachineintelligence.co.uk/robots.html,,-0.569,0.812,0.806,1.124,0.058,0.871,0.950,0.625,0.133,0.071,0.062,0.071,0.000,0.067,0.000,1.000,0.933,0.923,1.000,0.500,1.000,0.867,1.000,0.933,0.750,0.500,3
16,aimec_3,39.09,Tony Ellis (Applied Machine Intelligence (AMI)),16_aimec_3,http://www.appliedmachineintelligence.co.uk/robots.html,http://www.appliedmachineintelligence.co.uk/Robot%20Magazine.pdf,-0.042,1.052,0.753,0.721,0.203,0.974,0.967,0.507,0.133,0.000,0.200,0.286,0.000,0.733,0.071,1.000,0.933,1.000,1.000,0.938,1.000,0.933,1.000,0.933,0.727,0.286,3
19,asus_zenbo,25.96,ASUS,19_asus_zenbo,https://zenbo.asus.com/product/overview/,,-0.201,-1.455,1.116,0.529,0.165,0.071,0.927,0.511,0.143,0.733,0.200,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.143,0.923,1.000,1.000,0.786,0.333,0.688,2
20,kirobo_mini,51.26,Toyota,20_kirobo_mini,https://www.toyota-europe.com/world-of-toyota/articles-news-events/introducing-kirobo-mini,,0.025,0.738,0.69,-1.156,0.228,0.803,0.967,0.042,0.467,0.071,0.000,0.714,0.000,0.133,0.214,1.000,0.400,0.615,1.000,1.000,1.000,0.933,1.000,0.933,0.083,0.000,3
22,aldebaran_pepper,42.17,Aldebaran,22_aldebaran_pepper,https://www.ald.softbankrobotics.com/en/cool-robots/pepper,,0.094,0.772,0.796,1.597,0.227,0.858,0.962,0.771,0.143,0.071,0.000,0.231,0.000,1.000,0.143,1.000,1.000,0.933,0.929,0.429,0.917,1.000,1.000,0.929,0.667,0.875,2
23,aldebaran_romeo,62.22,Aldebaran,23_aldebaran_romeo,https://www.ald.softbankrobotics.com/en/cool-robots/romeo,,0.468,1.062,0.747,-0.908,0.337,0.987,1.000,0.042,0.267,0.429,0.125,0.786,0.143,0.467,0.143,1.000,0.933,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.083,0.000,3
24,aida_driving_agent,19.57,Personal Robots Group,24_aida_driving_agent,http://robotic.media.mit.edu/portfolio/aida/,,-0.588,-1.397,-0.012,-0.513,0.039,0.015,0.588,0.174,0.071,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.833,0.786,0.733,0.000,0.222,0.125,2
25,Darwin_OP,40.04,Robotics and Mechanisms Laboratory (RoMeLa),25_Darwin_OP,http://www.romela.org/darwin-op-open-platform-humanoid-robot-for-research-and-education/,,-0.888,0.575,0.517,-0.683,0.071,0.760,0.736,0.154,0.000,0.000,0.000,0.143,0.000,0.357,0.000,0.933,0.400,0.600,0.867,1.000,1.000,0.800,1.000,0.143,0.308,0.000,4
26,mobiserv_companion,31.61,Mobiserv,26_mobiserv_companion,http://www.smart-homes.nl/Innoveren/Sociale-Robots/Mobiserv.aspx,,0.45,-0.757,0.011,1.668,0.224,0.171,0.715,0.834,0.500,0.067,0.000,0.462,0.538,0.000,0.000,0.000,0.000,0.000,0.643,0.214,1.000,0.857,0.933,0.071,0.667,1.000,2
28,robonaut,47.04,NASA & GM,28_robonaut,https://robonaut.jsc.nasa.gov/R2/,,0.02,1.434,-1.189,-0.337,0.139,0.987,0.548,0.234,0.462,0.000,0.000,0.429,0.000,0.000,0.083,1.000,1.000,1.000,0.933,1.000,0.357,0.500,1.000,0.333,0.182,0.286,1
29,Zeno,61.84,Hanson Robotics,29_Zeno,http://www.hansonrobotics.com/robot/zeno/,,2.117,0.99,0.174,-0.354,0.651,0.987,0.982,0.123,0.462,0.846,0.286,0.929,0.786,1.000,0.250,1.000,0.933,1.000,1.000,1.000,0.929,1.000,1.000,1.000,0.091,0.154,1
30,han,77.04,Hanson Robotics,30_han,http://www.hansonrobotics.com/robot/han/,,2.295,-1.125,0.75,-0.472,0.661,0.267,1.000,0.039,0.000,1.000,0.933,0.857,0.143,1.000,0.692,0.733,0.133,0.000,0.467,0.000,1.000,1.000,1.000,1.000,0.077,0.000,4
31,albert_hubo,63.72,Hanson Robotics / Dynamic Korea,31_albert_hubo,http://www.hansonrobotics.com/robot/albert-einstein-hubo/,,2.736,0.546,0.092,-0.048,0.738,0.893,0.964,0.161,0.200,1.000,0.867,0.857,0.857,1.000,0.385,1.000,0.733,0.800,0.933,1.000,1.000,1.000,1.000,0.857,0.167,0.154,4
33,poppy,37.56,Poppy Project (Open Source),33_poppy,http://www.poppy-project.org,,-0.373,1.27,-2.007,-0.948,0.021,0.961,0.350,0.036,0.077,0.000,0.000,0.071,0.000,0.000,0.000,1.000,1.000,0.938,0.867,1.000,0.000,0.071,0.929,0.400,0.000,0.071,1
34,telenoid,53.13,Osaka University & Advanced Telecommunications Research Institute International (ATR),34_telenoid,http://telenoid-planning.jp/,,0.472,-0.334,0.964,-0.845,0.341,0.447,0.983,0.084,0.400,0.143,0.062,0.214,0.000,1.000,0.571,0.733,0.000,0.077,0.923,0.500,1.000,1.000,1.000,0.933,0.167,0.000,3
36,topio_3.0,65.74,TOSY,36_topio_3.0,https://www.robotcenter.co.uk/products/topio,,0.067,0.844,0.822,-1.163,0.291,0.893,0.945,0.000,0.071,0.133,0.000,0.692,0.000,1.000,0.143,1.000,0.800,0.667,1.000,1.000,0.923,1.000,1.000,0.857,0.000,0.000,2
37,discorobo,50.39,TOSY,37_discorobo,http://www.tosy.com/index.php/discorobo/,,-0.117,1.164,0.528,0.553,0.152,0.987,0.967,0.560,0.571,0.071,0.062,0.286,0.000,0.000,0.071,1.000,0.933,1.000,1.000,1.000,0.933,0.933,1.000,1.000,0.333,0.786,3
38,InMoov,59,Gael Langevin,38_InMoov,https://inmoov.fr/,,0.119,0.601,0.968,0.392,0.263,0.786,0.962,0.400,0.286,0.067,0.100,0.385,0.000,1.000,0.000,1.000,1.000,1.000,0.929,0.000,1.000,1.000,1.000,0.846,0.111,0.688,2
39,Kismet,29.04,Cynthia Brezeal MIT Sociable Machines Project,39_Kismet,http://www.ai.mit.edu/projects/humanoid-robotics-group/kismet/kismet.html,,0.409,-1.645,0.846,-0.707,0.297,0.054,0.861,0.042,0.000,0.867,0.571,0.143,0.214,0.286,0.000,0.133,0.071,0.000,0.067,0.000,1.000,0.867,0.933,0.643,0.083,0.000,4
